zip,Zipcode name,City,State,County Name,population
32810,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32811,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32812,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32814,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32815,"""ORLANDO. FL""",ORLANDO,FL,BREVARD,307573
32816,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32817,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32818,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32819,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32820,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32821,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32822,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32824,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32825,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32826,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32827,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32828,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32829,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32830,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32831,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32832,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32833,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32834,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32835,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32836,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32837,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32839,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32853,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32854,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32855,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32856,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32857,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32858,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32859,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32860,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32861,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32862,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32867,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32868,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32869,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32872,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32877,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32878,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32885,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32887,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32897,"""ORLANDO. FL""",ORLANDO,FL,ORANGE,307573
32899,"""ORLANDO. FL""",ORLANDO,FL,BREVARD,307573
32901,"""MELBOURNE. FL""",MELBOURNE,FL,BREVARD,84678
32902,"""MELBOURNE. FL""",MELBOURNE,FL,BREVARD,84678
32904,"""MELBOURNE. FL""",MELBOURNE,FL,BREVARD,84678
32905,"""PALM BAY. FL""",PALM BAY,FL,BREVARD,119760
32906,"""PALM BAY. FL""",PALM BAY,FL,BREVARD,119760
32907,"""PALM BAY. FL""",PALM BAY,FL,BREVARD,119760
32908,"""PALM BAY. FL""",PALM BAY,FL,BREVARD,119760
32909,"""PALM BAY. FL""",PALM BAY,FL,BREVARD,119760
32910,"""PALM BAY. FL""",PALM BAY,FL,BREVARD,119760
32911,"""PALM BAY. FL""",PALM BAY,FL,BREVARD,119760
32912,"""MELBOURNE. FL""",MELBOURNE,FL,BREVARD,84678
32919,"""MELBOURNE. FL""",MELBOURNE,FL,BREVARD,84678
32920,"""CAPE CANAVERAL. FL""",CAPE CANAVERAL,FL,BREVARD,9972
